Card name,Official URL ,Card Issuer,Status,,,,,,,,,,,,,,,,,,,,,,
,,issuer (enum),status,"network (enum: Visa, Mastercard, Rupay, Amex etc)",is_lifetime_free (bool),annual_fee (numeric),"fee_waiver_spend_threshold (numeric, optional)",is_upi_enabled (bool),is_cashback_primary (bool),is_rewards_points_primary (bool),has_dining_benefit (bool),has_travel_benefit (bool),has_fuel_benefit (bool),has_online_shopping_benefit (bool),has_entertainment_benefit (bool),has_groceries_benefit (bool),has_domestic_lounge (bool),has_international_lounge (bool),"co_brand_name (text, for display)","co_brand_type (enum: ecommerce, airline, hotel, food delivery etc)",cashback_generic_rate,cashback_top_category_rate,rewards_generic_multiplier,rewards_top_category_multiplier,(Available/Discontinued/Questionable) 
Central Bank of India SBI Card ELITE,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/central-bank-of-india-elite-card.page,SBI Card,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Central Bank of India SBI Card Prime,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/central-bank-of-india-prime-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
Central Bank Of India SimplySave SBI Card,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/central-bank-of-india-simplysave-sbi-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
City Union Bank SBI Card PRIME,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/city-union-bank-sbi-card-prime.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
City Union Bank SimplySAVE SBI Card,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/city-union-bank-simplysave-sbi-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
Karnataka Bank SBI Card PRIME,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/karnataka-bank-sbi-card-prime.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
Karnataka Bank SimplySAVE SBI Card,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/karnataka-bank-simplysave-sbi-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
South Indian Bank SBI Card PRIME,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/south-indian-bank-sbi-card-prime.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
South Indian Bank SBI Platinum Credit Card,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/south-india-bank-sbi-platinum-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
South Indian Bank SimplySAVE SBI Card,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/south-indian-bank-simplysave-sbi-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
KVB SBI Card ELITE,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/karur-vysya-bank-sbi-card-elite.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
KVB SBI Card PRIME,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/karur-vysya-bank-sbi-card-prime.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
KVB SimplySAVE SBI Card,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/karur-vysya-bank-sbi-card-simplysave.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
KVB SBI Signature Card,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/karur-vysya-bank-sbi-signature-credit-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
Karur Vysya Bank SBI Platinum Credit Card,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/karur-vysya-bank-sbi-platinum-credit-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
Karur Vysya Bank SBI Card Gold,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/karur-vysya-bank-sbi-card-gold.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
SBI Signature Corporate Card,https://www.sbicard.com/en/corporate/credit-cards/travel-entertainment-cards/sbi-signature-corporate-card.page​,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
SBI Platinum Corporate Card,https://www.sbicard.com/en/corporate/credit-cards/travel-entertainment-cards/sbi-platinum-corporate-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
SBI Central Travel Account Card,https://www.sbicard.com/en/corporate/credit-cards/central-travel-cards/sbi-corporate-central-travel-account.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
SBI Corporate Utility Card,https://www.sbicard.com/en/corporate/credit-cards/utility-cards/sbi-corporate-utility-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
SBI Corporate Purchase Card,https://www.sbicard.com/en/corporate/credit-cards/corporate-purchase-cards/sbi-corporate-purchase-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
SBI Corporate Virtual Card,https://www.sbicard.com/en/corporate/credit-cards/corporate-virtual-card/virtual-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
PSB SBI Card ELITE,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/psb-sbi-card-elite.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
PSB SBI Card PRIME,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/psb-sbi-card-prime.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
PSB SimplySAVE SBI Card,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/psb-simplysave-sbi-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
UCO Bank SBI Card ELITE,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/uco-bank-sbi-card-elite.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
UCO Bank SBI Card PRIME,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/uco-bank-sbi-card-prime.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
UCO Bank SimplySAVE SBI Card,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/uco-bank-simplysave-sbi-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
Central Bank of India SBI Card ELITE,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/central-bank-of-india-elite-card.page,SBI Card,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Central Bank of India SBI Card Prime,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/central-bank-of-india-prime-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
Central Bank Of India SimplySave SBI Card,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/central-bank-of-india-simplysave-sbi-card.page,SBI Card,Discontinued,,,,,,,,,,,,,,,,,,,,,,
City Union Bank SBI Card PRIME,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/city-union-bank-sbi-card-prime.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
City Union Bank SimplySAVE SBI Card,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/city-union-bank-simplysave-sbi-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
Karnataka Bank SBI Card PRIME,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/karnataka-bank-sbi-card-prime.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
Karnataka Bank SimplySAVE SBI Card,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/karnataka-bank-simplysave-sbi-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
South Indian Bank SBI Card PRIME,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/south-indian-bank-sbi-card-prime.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
South Indian Bank SBI Platinum Credit Card,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/south-india-bank-sbi-platinum-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
South Indian Bank SimplySAVE SBI Card,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/south-indian-bank-simplysave-sbi-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
KVB SBI Card ELITE,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/karur-vysya-bank-sbi-card-elite.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
KVB SBI Card PRIME,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/karur-vysya-bank-sbi-card-prime.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
KVB SimplySAVE SBI Card,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/karur-vysya-bank-sbi-card-simplysave.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
KVB SBI Signature Card,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/karur-vysya-bank-sbi-signature-credit-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
Karur Vysya Bank SBI Platinum Credit Card,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/karur-vysya-bank-sbi-platinum-credit-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
Karur Vysya Bank SBI Card Gold,https://www.sbicard.com/en/personal/credit-cards/banking-partnership/karur-vysya-bank-sbi-card-gold.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
SBI Signature Corporate Card,https://www.sbicard.com/en/corporate/credit-cards/travel-entertainment-cards/sbi-signature-corporate-card.page​,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
SBI Platinum Corporate Card,https://www.sbicard.com/en/corporate/credit-cards/travel-entertainment-cards/sbi-platinum-corporate-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
SBI Central Travel Account Card,https://www.sbicard.com/en/corporate/credit-cards/central-travel-cards/sbi-corporate-central-travel-account.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
SBI Corporate Utility Card,https://www.sbicard.com/en/corporate/credit-cards/utility-cards/sbi-corporate-utility-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
SBI Corporate Purchase Card,https://www.sbicard.com/en/corporate/credit-cards/corporate-purchase-cards/sbi-corporate-purchase-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
SBI Corporate Virtual Card,https://www.sbicard.com/en/corporate/credit-cards/corporate-virtual-card/virtual-card.page,SBI Card,Active,,,,,,,,,,,,,,,,,,,,,,
Rewards Credit Card,https://www.sc.com/in/credit-cards/rewards-credit-card/?pid=cc_rewardscard_cclp&cid=cc_rewardscard_cclp,Standard Chartered,Active,,,,,,,,,,,,,,,,,,,,,,
EaseMyTrip Credit Card,https://www.sc.com/in/credit-cards/easemytrip-credit-card/?pid=cc_emtcard_cclp&cid=cc_emtcard_cclp,Standard Chartered,Active,,,,,,,,,,,,,,,,,,,,,,
Smart Credit Card,https://www.sc.com/in/credit-cards/smart-credit-card/?pid=cc_smartcard_cclp&cid=cc_smartcard_cclp,Standard Chartered,Active,,,,,,,,,,,,,,,,,,,,,,
Ultimate Credit Card,https://www.sc.com/in/credit-cards/ultimate-card/?pid=cc_ultimatecard_cclp&cid=cc_ultimatecard_cclp,Standard Chartered,Active,,,,,,,,,,,,,,,,,,,,,,
Platinum Rewards Card,https://www.sc.com/in/credit-cards/platinum-rewards/?pid=cc_platrewardscard_cclp&cid=cc_platrewardscard_cclp,Standard Chartered,Active,,,,,,,,,,,,,,,,,,,,,,
Super Value Titanium Credit Card,https://www.sc.com/in/credit-cards/super-value-titanium/​,Standard Chartered,Active,,,,,,,,,,,,,,,,,,,,,,
Manhattan Credit Card,https://www.sc.com/in/credit-cards/manhattan-platinum/,Standard Chartered,Active,,,,,,,,,,,,,,,,,,,,,,
Priority Visa Infinite Credit Card,https://www.sc.com/in/credit-cards/priority-banking-visa-infinite/,Standard Chartered,Active,,,,,,,,,,,,,,,,,,,,,,
DigiSmart Credit Card,https://www.sc.com/in/credit-cards/digismart-card/,Standard Chartered,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Multicurrency Forex Card,https://www.sc.com/in/deposits/multicurrency-forex-card/?intcid=web-nov%2722-fx-en&pid=fx_prepaidcard_fxc,Standard Chartered,Active,,,,,,,,,,,,,,,,,,,,,,
Union JCB Wellness Credit Card,https://www.unionbankofindia.bank.in/en/Details/union-jcb-wellness-credit-card​,Union Bank of India,Active,,,,,,,,,,,,,,,,,,,,,,
RuPay Select Credit Card,https://www.unionbankofindia.bank.in/en/Details/rupay-select-credit-card​,Union Bank of India,Active,,,,,,,,,,,,,,,,,,,,,,
Union JCB Health Credit Card,https://www.unionbankofindia.bank.in/en/Details/union-jcb-health-credit-card​,Union Bank of India,Active,,,,,,,,,,,,,,,,,,,,,,
Union UNI-CARBON Credit Card,https://www.unionbankofindia.bank.in/en/Details/union-uni-carbon-credit-card​,Union Bank of India,Active,,,,,,,,,,,,,,,,,,,,,,
RuPay Platinum Credit Card,https://www.unionbankofindia.bank.in/en/Details/rupay-platinum-credit-card​,Union Bank of India,Active,,,,,,,,,,,,,,,,,,,,,,
VISA Signature Credit Card,https://www.unionbankofindia.bank.in/en/Details/visa-signature-credit-card​,Union Bank of India,Active,,,,,,,,,,,,,,,,,,,,,,
VISA Platinum Credit Card,https://www.unionbankofindia.bank.in/en/Details/visa-platinum-credit-card​,Union Bank of India,Active,,,,,,,,,,,,,,,,,,,,,,
VISA Gold Credit Card,https://www.unionbankofindia.bank.in/en/Details/visa-gold-credit-card​,Union Bank of India,Active,,,,,,,,,,,,,,,,,,,,,,
Divaā Credit Card,https://www.unionbankofindia.bank.in/en/Details/divaa-credit-card​,Union Bank of India,Active,,,,,,,,,,,,,,,,,,,,,,
Union Unicorn RuPay Credit Card,https://www.unionbankofindia.bank.in/en/Details/union-unicorn-credit-card​,Union Bank of India,Active,,,,,,,,,,,,,,,,,,,,,,
Union Sparsh Credit Card,https://www.unionbankofindia.bank.in/en/Details/union-sparsh-credit-card​,Union Bank of India,Active,,,,,,,,,,,,,,,,,,,,,,
NEXTERIA Credit Card,https://www.unionbankofindia.bank.in/en/Details/nexteria-credit-card,Union Bank of India,Active,,,,,,,,,,,,,,,,,,,,,,
Cookies Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/cookies-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Platinum Maxima Plus Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/platinum-maxima-plus-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Icon Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/icon-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
ShopRite Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/shoprite-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Monthly Treats Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/monthly-treats-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
World Safari Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/world-safari-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Platinum Delight Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/platinum-delight-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Platinum Maxima Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/platinum-maxima-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Platinum Choice Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/platinum-choice-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
World Plus Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/world-plus-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Platinum Advantage Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/platinum-advantage-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Platinum LifeEasy Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/platinum-lifeeasy-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
RBL Bank Play Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/rbl-bank-play-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
RBL Bank Movies and More Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/rbl-bank-movies-and-more-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
RBL Bank Blockbuster Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/rbl-bank-blockbuster-credit-card,RBL Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Insignia Preferred Banking Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/insignia-preferred-banking-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Titanium Delight Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/titanium-delight-credit-card,RBL Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
RBL Bank BankBazaar SaveMax Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/rbl-bank-bankbazaar-savemax-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
RBL Bank BankBazaar SaveMax Pro Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/rbl-bank-bankbazaar-savemax-pro-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
RBL Bank PaisaBazaar Duet Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/rbl-bank-paisabazaar-duet-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
RBL Bank PaisaBazaar Duet Plus Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/rbl-bank-paisabazaar-duet-plus-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Fun Plus Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/rbl-bank-fun-plus-credit-card,RBL Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
MoCash Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/mocash-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
EasySaver Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/easysaver-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
MyFirst Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/myfirst-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Binge Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/binge-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Platinum ShopGain Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/platinum-shopgain-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Platinum Bonus Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/platinum-bonus-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Platinum Prime Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/platinum-prime-credit-card,RBL Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Platinum Max Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/platinum-max-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Platinum Classic Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/platinum-classic-credit-card,RBL Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
World Max Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/world-max-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
RBL Bank Popcorn Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/rbl-bank-popcorn-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Platinum ValuePlus Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/platinum-valueplus-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Platinum ShopSmart Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/platinum-shopsmart-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Platinum TravelEasy Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/platinum-traveleasy-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
World Prime Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/world-prime-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Platinum Plus Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/platinum-plus-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Platinum ShopDaily Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/platinum-shopdaily-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
MoneyTap Black Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/moneytap-black-credit-card,RBL Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
MoneyTap Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/moneytap-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Platinum Edge Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/platinum-edge-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
iGlobe Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/iglobe-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
DMI Finance Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/dmi-finance-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
IRCTC RBL Bank RuPay Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/irctc-rbl-bank-rupay-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
IndianOil RBL Bank Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/indianoil-rbl-bank-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
IndianOil RBL Bank XTRA Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/indianoil-rbl-bank-xtra-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
RBL Bank Patanjali Swarn Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/rbl-bank-patanjali-swarn-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
RBL Bank Patanjali Vishisht Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/rbl-bank-patanjali-vishisht-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
TVS Credit RBL Bank Gold Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/tvs-credit-rbl-bank-gold-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
TVS Credit RBL Bank Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/tvs-credit-rbl-bank-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Salaryse Up Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/salaryse-up-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
RBL Bank Quick Pay Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/rbl-bank-quick-pay-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Signature Banking Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/signature-banking-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Aspire Banking Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/aspire-banking-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Lumiere Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/lumiere-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Nova Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/nova-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Apex Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/apex-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Lumière Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/lumiere-credit-card,RBL Bank ​,Active,,,,,,,,,,,,,,,,,,,,,,
Nova Credit Card,https://www.rbl.bank.in/personal-banking/cards/credit-cards/nova-credit-card,RBL Bank,Active,,,,,,,,,,,,,,,,,,,,,,
