Card name,Official URL ,Card Issuer,Status,,,,,,,,,,,,,,,,,,,,,,
,,issuer (enum),status,"network (enum: Visa, Mastercard, Rupay, Amex etc)",is_lifetime_free (bool),annual_fee (numeric),"fee_waiver_spend_threshold (numeric, optional)",is_upi_enabled (bool),is_cashback_primary (bool),is_rewards_points_primary (bool),has_dining_benefit (bool),has_travel_benefit (bool),has_fuel_benefit (bool),has_online_shopping_benefit (bool),has_entertainment_benefit (bool),has_groceries_benefit (bool),has_domestic_lounge (bool),has_international_lounge (bool),"co_brand_name (text, for display)","co_brand_type (enum: ecommerce, airline, hotel, food delivery etc)",cashback_generic_rate,cashback_top_category_rate,rewards_generic_multiplier,rewards_top_category_multiplier,(Available/Discontinued/Questionable) 
IndianOil Easy Axis Bank Credit Card,https://www.axis.bank.in/cards/credit-card/indianoil-easy-axis-bank-credit-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Privilege Easy Credit Card,https://www.axis.bank.in/cards/credit-card/privilege-easy-credit-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Axis Bank Atlas Credit Card,https://www.axis.bank.in/cards/credit-card/axis-bank-atlas-credit-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Axis Bank AURA Credit Card,https://www.axis.bank.in/cards/credit-card/axis-bank-aura-credit-card,Axis Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
IndianOil Axis Bank Premium Credit Card,https://www.axis.bank.in/cards/credit-card/indianoil-premium-credit-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Axis Bank Pride Platinum Credit Card,https://www.axis.bank.in/cards/credit-card/pride-platinum-credit-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Axis Bank Pride Signature Credit Card,https://www.axis.bank.in/cards/credit-card/pride-signature-credit-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Axis Bank Signature Credit Card with Lifestyle Benefits,https://www.axis.bank.in/cards/credit-card/signature-credit-card-with-lifestyle-benefits,Axis Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Platinum Credit Card,https://www.axis.bank.in/cards/credit-card/platinum-credit-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Titanium Smart Traveler Credit Card,https://www.axis.bank.in/cards/credit-card/titanium-smart-traveler-credit-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Flipkart Axis Bank Super Elite Credit Card,https://www.axis.bank.in/cards/credit-card/flipkart-axis-bank-super-elite-credit-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
SpiceJet Axis Bank Voyage Black Credit Card,https://www.axis.bank.in/cards/credit-card/spicejet-axis-bank-voyage-black-credit-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Samsung Axis Bank Infinite Credit Card,https://www.axis.bank.in/cards/credit-card/samsung-axis-bank-infinite-credit-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Fibe Axis Bank Credit Card,https://www.axis.bank.in/cards/credit-card/fibe-axis-bank-credit-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Axis Bank Shoppers Stop Credit Card,https://www.axis.bank.in/cards/credit-card/axis-bank-shoppers-stop-credit-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
SpiceJet Axis Bank Voyage Credit Card,https://www.axis.bank.in/cards/credit-card/spicejet-axis-bank-voyage-credit-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
